order_id,customer_id,region,product,category,amount,quantity,order_date,payment_method
ORD001,CUST101,North,Laptop,Electronics,75000,1,2024-01-15,Credit Card
ORD002,CUST102,South,Mobile,Electronics,25000,2,2024-02-10,UPI
ORD003,CUST103,West,Headphones,Accessories,3000,3,2024-02-12,Debit Card
ORD004,CUST104,East,TV,Electronics,55000,1,2024-03-01,Credit Card
ORD005,CUST105,North,Mouse,Accessories,800,2,2024-03-05,COD
ORD006,CUST106,South,Keyboard,Accessories,1500,1,2023-12-25,UPI
ORD007,CUST107,West,Laptop,Electronics,72000,1,2023-11-11,Credit Card
ORD008,CUST108,East,Mobile,Electronics,22000,1,2023-11-18,Debit Card
ORD009,CUST109,North,TV,Electronics,60000,1,2024-01-25,COD
ORD010,CUST110,South,Headphones,Accessories,3500,2,2024-02-20,UPI
